ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
1100,5.8,0.29,0.21,Low,0.025,12.0,120.0,<0.99,Acidic,0.79,14%,7
1101,6.3,0.27,0.26,Low,0.038,52.0,155.0,0.99-1.00,Acidic,0.38,9%,6
1102,6.3,0.17,0.4,Low,0.028,45.0,107.0,0.99-1.00,Acidic,0.43,11%,6
1103,6.3,0.16,0.4,Low,0.033,59.0,148.0,0.99-1.00,Acidic,0.53,11%,5
1104,7.9,0.29,0.39,Low,0.036,6.0,117.0,,Acidic,0.42,10%,5
1105,,0.31,0.69,Moderate,0.041,58.0,160.0,0.99-1.00,Acidic,0.45,8%,5
1106,5.5,0.32,0.45,Low,0.028,25.0,191.0,0.99-1.00,Acidic,0.49,11%,7
1107,5.2,0.24,0.45,Low,0.027,21.0,128.0,0.99-1.00,Acidic,0.49,11%,8
1108,7.2,0.37,0.15,Low,0.029,27.0,87.0,0.99-1.00,Acidic,0.59,12%,7
1109,6.1,0.29,0.27,Low,0.024,13.0,76.0,<0.99,Acidic,0.51,12%,7
1110,,0.22,0.4,Low,0.054,18.0,151.0,,Acidic,0.46,9%,4
1111,7.2,0.37,0.15,Low,0.029,27.0,87.0,0.99-1.00,Acidic,0.59,12%,7
1112,8.0,,0.37,Low,0.04,15.0,96.0,0.99-1.00,Acidic,0.64,12%,6
1113,6.5,0.22,0.34,Moderate,0.053,55.0,177.0,0.99-1.00,Acidic,0.44,9%,6
1114,7.4,0.18,0.4,Low,0.047,22.0,102.0,,Acidic,0.44,10%,5
1115,6.5,0.52,0.17,Low,0.047,5.0,26.0,0.99-1.00,Acidic,0.32,10%,4
1116,7.0,0.15,0.38,Low,0.047,33.0,96.0,0.99-1.00,Acidic,0.39,10%,8
1117,5.9,0.415,0.13,Low,0.04,11.0,64.0,0.99-1.00,Acidic,0.52,10%,5
1118,8.1,0.45,0.34,Moderate,0.037,33.0,216.0,0.99-1.00,Acidic,0.64,9%,5
1119,5.8,0.415,0.13,Low,0.04,11.0,64.0,0.99-1.00,Acidic,0.52,10%,5
1120,6.4,0.5,0.16,Moderate,0.042,26.0,138.0,0.99-1.00,Acidic,0.33,9%,5
1121,6.7,0.105,0.32,Moderate,0.051,34.0,106.0,0.99-1.00,Acidic,0.45,9%,6
1122,6.0,0.4,0.3,Low,0.047,30.0,117.0,0.99-1.00,Acidic,0.48,10%,6
1123,6.6,,0.39,Low,0.04,40.0,89.0,0.99-1.00,Acidic,0.4,11%,7
1124,9.8,0.36,0.45,Low,0.042,11.0,124.0,0.99-1.00,Highly Acidic,0.46,10%,5
1125,9.6,0.23,0.4,Low,0.044,19.0,135.0,0.99-1.00,Highly Acidic,0.49,10%,5
1126,6.3,,0.45,High,0.047,33.0,182.0,,Acidic,0.46,9%,6
1127,6.5,0.115,0.29,Low,0.038,73.0,166.0,<0.99,Acidic,0.25,12%,7
1128,6.4,0.125,0.29,Low,0.042,24.0,99.0,0.99-1.00,Acidic,0.32,12%,7
1129,5.7,0.1,0.27,Low,0.047,21.0,100.0,0.99-1.00,Acidic,0.46,9%,5
1130,7.9,0.25,0.29,Low,0.031,33.0,117.0,0.99-1.00,Acidic,0.33,11%,7
1131,6.9,,0.28,Low,0.048,36.0,159.0,0.99-1.00,Acidic,0.43,9%,6
1132,6.9,0.23,0.34,Low,0.047,24.0,128.0,0.99-1.00,Acidic,0.52,9%,6
1133,6.8,0.39,0.31,High,0.043,28.0,162.0,0.99-1.00,Acidic,0.54,9%,5
1134,8.7,0.22,0.42,Low,0.053,27.0,114.0,0.99-1.00,Highly Acidic,0.43,10%,5
1135,7.4,0.41,0.34,Low,0.042,19.0,127.0,,Acidic,0.42,10%,5
1136,,0.25,0.34,Moderate,0.048,30.0,161.0,0.99-1.00,Acidic,0.47,9%,6
1137,6.0,0.26,0.42,Low,0.027,70.0,178.0,,Acidic,0.4,12%,8
1138,6.1,0.31,0.37,Moderate,0.031,70.0,170.0,0.99-1.00,Acidic,0.4,11%,8
1139,9.2,0.28,0.46,Low,0.058,39.0,133.0,0.99-1.00,Acidic,0.58,9%,5
1140,9.0,0.31,0.49,Low,0.034,26.0,91.0,0.99-1.00,Highly Acidic,0.34,11%,5
1141,8.5,0.16,0.33,Low,0.076,17.0,57.0,0.99-1.00,Acidic,0.46,10%,6
1142,9.3,0.34,0.49,Moderate,0.052,30.0,146.0,0.99-1.00,Acidic,0.61,10%,5
1143,9.2,0.28,0.46,Low,0.058,39.0,133.0,0.99-1.00,Acidic,0.58,9%,5
1144,7.2,0.24,0.3,Low,0.048,27.0,131.0,0.99-1.00,Acidic,0.45,10%,5
1145,7.2,0.25,0.32,Low,0.047,27.0,132.0,0.99-1.00,Acidic,0.44,10%,5
1146,6.8,0.32,0.18,Moderate,0.041,71.0,223.0,0.99-1.00,Acidic,0.41,8%,5
1147,9.1,0.27,0.32,Low,0.031,15.0,151.0,0.99-1.00,Acidic,0.41,10%,5
1148,8.9,0.34,0.32,Low,0.041,12.0,188.0,0.99-1.00,Acidic,0.49,9%,5
1149,7.0,0.17,0.37,Low,0.025,29.0,111.0,0.99-1.00,Acidic,0.49,10%,6
1150,6.7,0.25,0.23,Moderate,0.038,61.0,220.0,0.99-1.00,Acidic,0.35,9%,5
1151,6.9,0.32,0.17,Moderate,0.042,69.0,219.0,0.99-1.00,Acidic,0.4,8%,5
1152,,0.32,0.18,Moderate,0.041,71.0,223.0,0.99-1.00,Acidic,0.41,8%,5
1153,6.1,0.6,0.0,Low,0.042,24.0,79.0,0.99-1.00,Acidic,0.4,9%,4
1154,5.3,0.395,0.07,Low,0.035,26.0,102.0,0.99-1.00,Acidic,0.35,10%,6
1155,7.9,0.16,0.3,Low,0.037,37.0,171.0,0.99-1.00,Acidic,0.44,9%,4
1156,7.6,0.33,0.36,Low,0.034,26.0,172.0,0.99-1.00,Acidic,0.48,10%,4
1157,7.8,0.3,0.29,High,0.054,23.0,135.0,0.99-1.00,Acidic,0.38,9%,6
1158,7.8,0.3,0.29,High,0.054,23.0,135.0,0.99-1.00,Acidic,0.37,9%,6
1159,5.7,,0.27,Low,0.201,73.5,189.5,0.99-1.00,Acidic,0.38,9%,6
1160,7.8,0.3,0.29,High,0.054,23.0,135.0,0.99-1.00,Acidic,0.38,9%,6
1161,7.5,0.14,0.33,Low,0.055,50.0,153.0,0.99-1.00,Acidic,0.8,9%,6
1162,7.8,0.3,0.29,High,0.054,23.0,135.0,0.99-1.00,Acidic,0.38,9%,6
1163,6.6,0.25,0.41,Moderate,0.043,29.0,151.0,0.99-1.00,Acidic,0.6,10%,7
1164,5.7,0.26,0.27,Low,0.201,73.5,189.5,0.99-1.00,Acidic,0.38,9%,6
1165,8.2,0.23,0.49,Low,0.057,15.0,12.0,0.99-1.00,Acidic,0.38,10%,6
1166,6.0,0.24,0.32,Low,0.03,34.0,129.0,0.99-1.00,Acidic,0.41,10%,5
1167,6.1,0.45,0.27,Low,0.039,13.0,82.0,0.99-1.00,Acidic,0.32,9%,5
1168,,0.23,0.43,Low,0.044,22.0,113.0,0.99-1.00,Acidic,0.62,10%,6
1169,7.2,0.2,0.38,Low,0.037,21.0,74.0,0.99-1.00,Acidic,0.37,11%,5
1170,7.5,0.14,0.34,Low,0.055,50.0,153.0,0.99-1.00,Acidic,0.8,9%,6
1171,7.7,0.25,0.43,Low,0.062,20.0,115.0,0.99-1.00,Acidic,0.5,9%,6
1172,8.2,0.61,0.43,Low,0.03,15.0,118.0,0.99-1.00,Acidic,0.34,9%,5
1173,7.6,0.21,0.44,Low,0.036,10.0,119.0,0.99-1.00,Acidic,0.7,12%,6
1174,7.4,0.22,0.33,Low,0.045,31.0,101.0,0.99-1.00,Acidic,0.53,11%,5
1175,7.2,0.26,0.26,Moderate,0.036,49.0,214.0,0.99-1.00,Acidic,0.5,10%,6
1176,6.4,0.25,0.41,Moderate,0.042,57.0,173.0,0.99-1.00,Acidic,0.44,9%,5
1177,6.3,0.32,0.35,Moderate,0.039,29.0,198.0,0.99-1.00,Acidic,0.5,9%,7
1178,6.8,0.25,0.29,Low,0.042,19.0,189.0,0.99-1.00,Acidic,0.54,10%,6
1179,9.8,0.44,0.4,Low,0.036,35.0,167.0,0.99-1.00,Highly Acidic,0.39,9%,5
1180,7.2,0.2,0.25,Low,0.044,31.0,109.0,0.99-1.00,Acidic,0.36,9%,5
1181,8.2,0.61,0.45,Low,0.03,15.0,118.0,0.99-1.00,Acidic,0.34,9%,5
1182,7.5,0.42,0.45,Moderate,0.029,20.0,125.0,0.99-1.00,Acidic,0.36,10%,6
1183,7.4,0.22,0.33,Low,0.045,31.0,101.0,0.99-1.00,Neutral,0.55,11%,5
1184,6.4,0.26,0.3,Low,0.025,33.0,134.0,0.99-1.00,Acidic,0.47,10%,6
1185,7.9,0.46,0.32,Low,0.033,40.0,138.0,,Acidic,0.44,12%,7
1186,6.5,0.41,0.64,Moderate,0.065,65.0,225.0,,Acidic,0.51,8%,5
1187,7.5,0.31,0.37,Low,0.048,22.0,184.0,0.99-1.00,Acidic,0.43,9%,5
1188,6.6,0.21,0.38,Low,0.026,40.0,104.0,0.99-1.00,Acidic,0.4,11%,8
1189,7.1,0.21,0.3,Low,0.037,45.0,143.0,0.99-1.00,Acidic,0.33,9%,6
1190,7.6,0.26,0.47,Low,0.068,5.0,55.0,0.99-1.00,Acidic,0.45,9%,5
1191,7.6,0.21,0.44,Low,0.036,10.0,119.0,0.99-1.00,Acidic,0.7,12%,6
1192,6.9,0.25,0.26,Low,0.024,36.0,135.0,0.99-1.00,Acidic,0.72,10%,7
1193,7.1,0.26,0.32,High,0.074,29.0,107.0,0.99-1.00,Highly Acidic,0.42,9%,6
1194,7.3,0.22,0.4,High,0.042,44.5,129.5,0.99-1.00,Acidic,0.41,9%,7
1195,6.2,0.37,0.22,Moderate,0.025,36.0,216.0,0.99-1.00,Acidic,0.6,9%,6
1196,7.9,0.22,0.45,High,0.038,53.0,141.0,0.99-1.00,Acidic,0.46,9%,6
1197,6.9,0.25,0.26,Low,0.024,36.0,135.0,0.99-1.00,Acidic,0.74,10%,7
1198,7.3,0.22,0.4,High,0.042,44.5,129.5,,Acidic,0.41,9%,7
1199,7.1,0.26,0.32,High,0.074,29.0,107.0,0.99-1.00,Highly Acidic,0.42,9%,6
1200,7.4,0.25,0.37,Low,0.02,14.0,93.0,0.99-1.00,Acidic,0.48,10%,7
1201,6.8,0.18,0.37,Low,0.027,37.0,93.0,0.99-1.00,Acidic,0.45,10%,6
1202,,0.17,0.37,Low,0.028,26.0,75.0,0.99-1.00,Acidic,0.46,10%,7
1203,6.4,,0.38,Moderate,0.046,35.0,192.0,0.99-1.00,Acidic,0.37,9%,5
1204,5.0,0.33,0.16,Low,0.049,10.0,97.0,0.99-1.00,Acidic,0.44,10%,6
1205,5.0,0.33,0.16,Low,0.049,10.0,97.0,0.99-1.00,Acidic,0.44,10%,6
1206,8.9,0.33,0.32,Low,0.047,11.0,200.0,0.99-1.00,Acidic,0.46,9%,5
1207,7.0,0.26,0.46,High,0.037,61.0,171.0,0.99-1.00,Highly Acidic,0.35,8%,6
1208,6.4,0.3,0.38,Moderate,0.046,35.0,192.0,0.99-1.00,Acidic,0.37,9%,5
1209,6.3,0.21,0.4,Low,0.031,48.0,134.0,0.99-1.00,Acidic,0.49,11%,6
1210,8.0,0.23,0.46,Low,0.03,30.0,125.0,,Acidic,0.47,12%,6
1211,9.2,0.28,0.41,Low,0.042,14.0,59.0,0.99-1.00,Highly Acidic,0.25,10%,6
1212,7.3,0.27,0.39,Low,0.064,28.0,188.0,0.99-1.00,Acidic,0.3,9%,5
1213,7.6,0.32,0.36,Low,0.04,32.0,155.0,0.99-1.00,Acidic,0.52,11%,6
1214,5.0,0.33,0.16,Low,0.049,10.0,97.0,0.99-1.00,Acidic,0.44,10%,6
1215,9.7,0.24,0.45,Low,0.033,11.0,59.0,0.99-1.00,Highly Acidic,0.47,10%,6
1216,8.0,0.28,0.42,Moderate,0.045,41.0,169.0,0.99-1.00,Acidic,0.43,10%,5
1217,8.2,0.37,0.36,Low,0.034,17.0,93.0,0.99-1.00,Acidic,0.32,11%,8
1218,8.0,0.61,0.38,Moderate,0.301,24.0,220.0,0.99-1.00,Highly Acidic,0.48,9%,5
1219,7.2,0.26,0.44,Moderate,0.027,25.0,126.0,0.99-1.00,Acidic,0.34,11%,8
1220,8.2,0.37,0.36,Low,0.034,17.0,93.0,0.99-1.00,Acidic,0.32,11%,8
1221,6.4,0.23,0.33,Low,0.044,15.5,217.5,0.99-1.00,Acidic,0.44,11%,6
1222,5.9,0.4,0.32,Low,0.034,50.0,127.0,0.99-1.00,Acidic,0.58,12%,7
1223,7.6,0.28,0.39,Low,0.038,21.0,115.0,0.99-1.00,Acidic,0.67,10%,6
1224,8.0,0.28,0.42,Moderate,0.045,41.0,169.0,0.99-1.00,Acidic,0.43,10%,5
1225,7.2,0.23,0.39,Low,0.033,29.0,102.0,,Acidic,0.54,12%,7
1226,6.8,0.32,0.37,Low,0.023,19.0,87.0,0.99-1.00,Acidic,0.53,12%,6
1227,7.2,0.23,0.39,Low,0.033,29.0,102.0,0.99-1.00,Acidic,0.54,12%,7
1228,6.9,0.18,0.38,Low,0.039,20.0,110.0,0.99-1.00,Acidic,0.42,10%,5
1229,9.4,0.26,0.53,Low,0.047,25.0,109.0,0.99-1.00,Acidic,0.28,12%,6
1230,8.3,0.33,0.42,Low,0.033,18.0,96.0,0.99-1.00,Acidic,0.32,12%,3
1231,7.3,0.29,0.3,High,0.043,46.0,238.0,0.99-1.00,Acidic,0.39,8%,6
1232,7.9,0.41,0.37,Low,0.03,40.0,114.0,0.99-1.00,Acidic,0.52,12%,7
1233,7.9,0.44,0.37,Low,0.033,27.0,93.0,0.99-1.00,Acidic,0.54,12%,7
1234,7.7,0.39,0.3,Low,0.037,29.0,131.0,0.99-1.00,Acidic,0.44,11%,6
1235,7.7,0.27,0.31,Low,0.043,47.0,155.0,0.99-1.00,Acidic,0.5,10%,6
1236,7.8,0.32,0.31,Low,0.036,46.0,195.0,0.99-1.00,Acidic,0.48,10%,5
1237,6.8,0.32,0.37,Low,0.023,19.0,87.0,0.99-1.00,Acidic,0.53,12%,6
1238,7.3,0.24,0.39,Low,0.024,35.0,116.0,0.99-1.00,Acidic,0.51,10%,5
1239,7.1,0.44,0.37,Low,0.041,35.0,128.0,<0.99,Acidic,0.43,13%,7
1240,10.3,0.25,0.48,Low,0.042,28.0,164.0,0.99-1.00,Acidic,0.59,9%,5
1241,7.9,0.14,0.28,Low,0.041,44.0,178.0,0.99-1.00,Acidic,0.43,9%,6
1242,7.4,0.18,0.42,Low,0.036,33.0,187.0,0.99-1.00,Acidic,0.41,10%,7
1243,8.1,0.43,0.42,Low,0.033,36.0,141.0,0.99-1.00,Highly Acidic,0.39,13%,7
1244,7.1,0.44,0.37,Low,0.041,35.0,128.0,<0.99,Acidic,0.44,13%,7
1245,6.4,0.26,0.22,Low,0.037,23.0,131.0,0.99-1.00,Acidic,0.32,10%,5
1246,8.0,0.66,0.72,High,0.042,62.0,233.0,0.99-1.00,Highly Acidic,0.65,9%,4
1247,8.0,,0.4,Low,0.055,41.0,167.0,0.99-1.00,Acidic,0.4,10%,7
1248,7.2,0.21,0.34,Low,0.046,25.0,80.0,0.99-1.00,Acidic,0.4,11%,6
1249,7.2,0.18,0.31,Low,0.045,20.0,73.0,0.99-1.00,Acidic,0.4,10%,7
1250,8.4,0.57,0.44,Moderate,0.051,46.0,195.0,0.99-1.00,Acidic,0.51,10%,5
1251,5.3,0.26,0.23,Low,0.034,48.0,160.0,0.99-1.00,Acidic,0.51,10%,7
1252,5.7,0.245,0.33,Low,0.049,28.0,150.0,0.99-1.00,Acidic,0.42,9%,5
1253,5.6,0.245,0.32,Low,0.047,24.0,152.0,0.99-1.00,Acidic,0.42,9%,6
1254,7.3,0.25,0.41,Low,0.037,52.0,165.0,0.99-1.00,Acidic,0.39,12%,7
1255,7.0,0.16,0.73,Low,0.138,58.0,150.0,0.99-1.00,Acidic,0.3,9%,5
1256,6.4,0.22,0.34,Low,0.057,29.0,104.0,0.99-1.00,Acidic,0.57,10%,6
1257,7.3,0.18,0.65,Low,0.046,28.0,157.0,0.99-1.00,Acidic,0.63,9%,6
1258,6.4,0.17,0.27,Low,0.036,88.0,223.0,0.99-1.00,Acidic,0.35,10%,6
1259,6.9,0.29,0.16,Low,0.034,65.0,212.0,,Acidic,0.39,9%,6
1260,6.2,0.21,0.38,Low,0.036,64.0,245.0,0.99-1.00,Acidic,0.36,9%,6
1261,6.4,0.23,0.3,Moderate,0.037,63.0,236.0,0.99-1.00,Acidic,0.34,9%,6
1262,7.3,0.19,0.68,Low,0.05,31.0,156.0,0.99-1.00,Acidic,0.64,9%,6
1263,7.3,0.18,0.65,Low,0.046,28.0,157.0,0.99-1.00,Acidic,0.62,9%,6
1264,9.6,0.29,0.46,Low,0.039,77.5,223.0,0.99-1.00,Highly Acidic,0.46,9%,6
1265,7.2,0.14,0.35,Low,0.036,15.0,73.0,0.99-1.00,Acidic,0.37,9%,5
1266,6.9,0.31,0.34,Moderate,0.059,36.0,174.0,0.99-1.00,Acidic,0.62,11%,7
1267,7.5,0.28,0.34,Low,0.028,36.0,116.0,0.99-1.00,Highly Acidic,0.41,12%,8
1268,8.0,0.22,0.42,High,0.044,45.0,163.0,>1.00,Acidic,0.69,8%,7
1269,7.6,0.31,0.29,Moderate,0.04,21.0,145.0,0.99-1.00,Acidic,0.35,9%,5
1270,8.4,0.35,0.56,High,0.048,55.0,190.0,0.99-1.00,Acidic,0.58,9%,6
1271,8.0,0.22,0.42,High,0.044,45.0,163.0,>1.00,Acidic,0.69,8%,7
1272,8.1,0.5,0.47,Low,0.037,23.0,126.0,0.99-1.00,Acidic,0.42,10%,5
1273,7.0,0.39,0.31,Low,0.169,32.0,162.0,0.99-1.00,Acidic,0.48,9%,5
1274,8.1,0.5,0.47,Low,0.037,23.0,126.0,0.99-1.00,Acidic,0.42,10%,5
1275,8.4,0.35,0.56,High,0.048,55.0,190.0,0.99-1.00,Acidic,0.56,9%,6
1276,6.2,0.22,0.27,Low,0.064,20.0,132.0,0.99-1.00,Acidic,0.46,9%,6
1277,8.0,0.22,0.42,High,0.044,45.0,163.0,>1.00,Acidic,0.69,8%,7
1278,7.6,0.31,0.29,Moderate,0.04,21.0,145.0,0.99-1.00,Acidic,0.35,9%,5
1279,7.0,0.24,0.36,Low,0.083,10.0,133.0,0.99-1.00,Acidic,0.37,10%,6
1280,6.6,0.27,0.3,Low,0.025,14.0,153.0,0.99-1.00,Acidic,0.62,10%,6
1281,7.8,0.16,0.41,Low,0.026,29.0,140.0,0.99-1.00,Acidic,0.78,12%,6
1282,7.7,0.27,0.34,Low,0.028,26.0,168.0,0.99-1.00,Highly Acidic,0.48,12%,7
1283,7.4,0.31,0.74,Moderate,0.039,51.0,147.0,0.99-1.00,Acidic,0.43,8%,5
1284,8.0,0.45,0.36,Moderate,0.026,50.0,151.0,0.99-1.00,Acidic,0.25,12%,8
1285,7.7,0.27,0.34,Low,0.028,26.0,168.0,0.99-1.00,Highly Acidic,0.48,12%,7
1286,7.8,0.16,0.41,Low,0.026,29.0,140.0,0.99-1.00,Acidic,0.78,12%,6
1287,6.6,0.16,0.29,Low,0.05,40.0,147.0,0.99-1.00,Acidic,0.44,11%,7
1288,8.3,0.21,0.4,Low,0.032,35.0,110.0,0.99-1.00,Neutral,0.6,12%,7
1289,7.2,0.32,0.33,Low,0.029,29.0,109.0,0.99-1.00,Acidic,0.51,12%,7
1290,6.6,0.16,0.3,Low,0.034,15.0,78.0,0.99-1.00,Acidic,0.44,11%,6
1291,8.4,0.16,0.33,Low,0.033,16.0,98.0,0.99-1.00,Acidic,0.42,9%,6
1292,7.5,0.23,0.32,Moderate,0.038,54.0,191.0,0.99-1.00,Acidic,0.56,9%,6
1293,6.2,0.17,0.3,Low,0.037,14.0,79.0,0.99-1.00,Acidic,0.54,10%,6
1294,6.9,0.39,0.23,Low,0.03,10.0,102.0,0.99-1.00,Acidic,0.87,11%,4
1295,6.9,0.41,0.22,Low,0.031,10.0,102.0,0.99-1.00,Acidic,0.86,11%,4
1296,7.5,0.23,0.32,Moderate,0.038,54.0,191.0,,Acidic,0.56,9%,6
1297,7.5,0.38,0.33,Low,0.045,30.0,131.0,0.99-1.00,Acidic,0.44,10%,6
1298,7.3,0.42,0.38,Low,0.045,29.0,122.0,0.99-1.00,Acidic,0.37,12%,7
1299,7.3,0.34,0.39,Low,0.04,45.0,163.0,0.99-1.00,Acidic,0.47,12%,6
1300,7.8,0.23,0.28,Low,0.042,45.0,166.0,0.99-1.00,Highly Acidic,0.4,11%,5
1301,9.0,0.245,0.38,Low,0.045,52.0,159.0,0.99-1.00,Highly Acidic,0.35,10%,6
1302,6.9,0.2,0.4,Moderate,0.032,51.0,176.0,0.99-1.00,Acidic,0.27,11%,5
1303,7.4,0.19,0.42,Low,0.067,39.0,212.0,0.99-1.00,Acidic,0.33,9%,6
1304,8.2,0.2,0.35,Moderate,0.035,60.0,163.0,0.99-1.00,Acidic,0.3,10%,6
1305,8.0,0.59,0.71,High,0.038,61.0,228.0,>1.00,Highly Acidic,0.75,9%,5
1306,7.9,0.14,0.45,Low,0.05,17.0,114.0,,Acidic,0.49,10%,7
1307,6.8,0.23,0.4,Low,0.047,34.0,105.0,,Acidic,0.49,12%,8
1308,9.7,0.14,0.59,Low,0.049,23.0,142.0,0.99-1.00,Highly Acidic,0.62,9%,5
1309,9.2,0.15,0.68,Low,0.046,22.0,130.0,0.99-1.00,Acidic,0.45,10%,6
1310,,0.17,0.55,Low,0.049,14.0,94.0,0.99-1.00,Acidic,0.61,10%,6
1311,5.2,0.365,0.08,High,0.041,37.0,142.0,0.99-1.00,Acidic,0.39,9%,6
1312,6.3,0.23,0.22,Low,0.039,37.0,116.0,0.99-1.00,Acidic,0.5,10%,6
1313,9.6,0.25,0.54,Low,0.04,16.0,160.0,0.99-1.00,Highly Acidic,0.43,10%,5
1314,9.2,0.32,0.42,Low,0.046,14.0,186.0,0.99-1.00,Acidic,0.48,9%,5
1315,6.4,0.31,0.4,Low,0.04,46.0,169.0,0.99-1.00,Acidic,0.46,9%,6
1316,8.1,0.2,0.36,Moderate,0.044,63.0,162.0,0.99-1.00,Acidic,0.46,10%,6
1317,7.9,0.255,0.26,Low,0.026,40.0,190.0,0.99-1.00,Acidic,0.39,11%,6
1318,7.0,0.15,0.34,Low,0.039,21.0,177.0,0.99-1.00,Acidic,0.62,10%,5
1319,6.4,0.15,0.31,Low,0.044,25.0,96.0,0.99-1.00,Acidic,0.51,10%,6
1320,6.4,0.25,0.53,Low,0.038,59.0,234.0,0.99-1.00,Acidic,0.41,8%,5
1321,7.6,0.19,0.42,Low,0.044,6.0,114.0,0.99-1.00,Acidic,0.74,12%,6
1322,,0.43,0.37,Low,0.028,17.0,114.0,0.99-1.00,Acidic,0.43,13%,6
1323,5.1,0.31,0.3,Low,0.037,28.0,152.0,0.99-1.00,Acidic,0.56,10%,6
1324,6.2,0.2,0.26,Low,0.093,40.0,161.0,0.99-1.00,Acidic,0.66,11%,5
1325,6.9,0.16,0.35,Low,0.043,21.0,182.0,0.99-1.00,Acidic,0.62,10%,6
1326,7.7,0.32,0.48,Low,0.04,28.0,114.0,0.99-1.00,Acidic,0.52,12%,7
1327,6.5,0.22,0.72,Low,0.042,33.0,168.0,0.99-1.00,Acidic,0.36,9%,6
1328,6.8,0.26,0.33,Low,0.047,44.0,167.0,0.99-1.00,Acidic,0.44,10%,6
1329,,0.37,0.35,Low,0.028,13.0,81.0,0.99-1.00,Acidic,0.38,11%,6
1330,8.4,0.19,0.43,Low,0.052,20.0,104.0,,Highly Acidic,0.46,9%,5
1331,8.3,0.22,0.41,Low,0.05,24.0,108.0,0.99-1.00,Highly Acidic,0.45,9%,5
1332,6.8,0.15,0.32,Moderate,0.058,24.0,110.0,0.99-1.00,Acidic,0.4,8%,6
1333,7.9,0.16,0.67,High,0.05,69.0,210.0,>1.00,Acidic,0.51,9%,7
1334,7.8,0.21,0.39,Low,0.034,62.0,180.0,0.99-1.00,Acidic,0.75,12%,8
1335,9.0,0.24,0.5,Low,0.048,26.0,107.0,0.99-1.00,Acidic,0.34,12%,6
1336,5.7,0.21,0.24,Low,0.047,60.0,189.0,0.99-1.00,Acidic,0.72,10%,6
1337,7.8,,0.36,Moderate,0.042,38.0,161.0,0.99-1.00,Acidic,0.37,11%,8
1338,6.7,0.18,0.3,Low,0.048,40.0,251.0,0.99-1.00,Acidic,0.52,10%,5
1339,6.7,0.18,0.3,Low,0.048,40.0,251.0,0.99-1.00,Acidic,0.52,10%,5
1340,8.4,0.58,0.27,Moderate,0.033,37.0,116.0,0.99-1.00,Highly Acidic,0.39,10%,6
1341,7.2,0.16,0.32,Low,0.04,50.0,121.0,0.99-1.00,Acidic,0.33,10%,6
1342,7.6,0.54,0.23,Low,0.029,13.0,151.0,0.99-1.00,Acidic,0.33,10%,5
1343,8.4,0.58,0.27,Moderate,0.033,37.0,116.0,0.99-1.00,Highly Acidic,0.39,10%,6
1344,6.6,0.25,0.31,Moderate,0.059,52.0,181.0,0.99-1.00,Acidic,0.47,9%,6
1345,7.3,0.23,0.37,Low,0.041,51.0,165.0,0.99-1.00,Acidic,0.4,12%,8
1346,7.3,0.39,0.37,Low,0.043,36.0,113.0,0.99-1.00,Acidic,0.48,12%,8
1347,7.0,0.46,0.39,Low,0.039,46.0,163.0,0.99-1.00,Acidic,0.35,12%,7
1348,8.2,0.35,0.4,Low,0.039,35.0,162.0,0.99-1.00,Acidic,0.34,11%,7
1349,7.8,0.29,0.36,Moderate,0.042,38.0,161.0,0.99-1.00,Acidic,0.37,11%,8
1350,9.2,0.35,0.39,Low,0.042,15.0,61.0,0.99-1.00,Highly Acidic,0.28,10%,4
1351,,0.57,0.39,Low,0.034,22.0,122.0,0.99-1.00,Acidic,0.67,12%,7
1352,6.5,0.37,0.33,Low,0.027,40.0,130.0,0.99-1.00,Acidic,0.39,12%,7
1353,5.7,0.21,0.24,Low,0.047,60.0,189.0,0.99-1.00,Acidic,0.7,10%,6
1354,6.7,0.18,0.3,Low,0.048,40.0,251.0,0.99-1.00,Acidic,0.52,10%,5
1355,7.8,0.13,0.3,Low,0.04,43.0,179.0,0.99-1.00,Acidic,0.41,9%,5
1356,7.6,0.19,0.41,Low,0.04,38.0,143.0,0.99-1.00,Highly Acidic,0.42,11%,5
1357,7.3,0.22,0.41,High,0.05,55.0,191.0,>1.00,Acidic,0.59,8%,6
1358,6.3,0.29,0.4,Low,0.039,43.0,167.0,0.99-1.00,Acidic,0.44,9%,6
1359,6.8,0.35,0.34,Low,0.048,35.0,103.0,0.99-1.00,Acidic,0.46,12%,8
1360,6.5,0.19,0.32,Low,0.04,31.0,132.0,0.99-1.00,Acidic,0.54,10%,7
1361,6.2,0.12,0.26,Low,0.044,56.0,158.0,0.99-1.00,Acidic,0.37,10%,6
1362,6.0,0.13,0.28,Low,0.038,56.0,189.5,0.99-1.00,Acidic,0.41,10%,7
1363,6.4,0.25,0.33,Low,0.04,42.0,115.0,0.99-1.00,Acidic,0.48,11%,7
1364,6.9,0.32,0.16,Low,0.051,15.0,96.0,0.99-1.00,Acidic,0.38,9%,4
1365,7.6,0.19,0.41,Low,0.04,38.0,143.0,0.99-1.00,Highly Acidic,0.42,11%,5
1366,6.7,0.13,0.28,Low,0.046,35.0,140.0,0.99-1.00,Acidic,0.33,10%,7
1367,7.0,0.14,0.41,Low,0.037,22.0,95.0,0.99-1.00,Acidic,0.42,10%,6
